Gesellschaft;Standort;PLZ
ASB Transportbeton;Osterweddingen;39171
ASB Transportbeton;Stendal;39576
ASB Transportbeton;Rathenow;14712
BeHaGe Betonhandelsgesellschaft;Erlensee;63526
BeHaGe Betonhandelsgesellschaft;Nidda;63667
BeHaGe Betonhandelsgesellschaft;Büdingen;63654
BeHaGe Betonhandelsgesellschaft;Breitenborn;63584
Donau-Transportbeton;Weisingen;89438
Donau-Transportbeton;Altenmünster-Hennhofen;86450
Donau-Transportbeton;Aislingen;89344
Kinzigbeton;Schlüchtern;36381
Saale-Beton;Hammelburg;97762
Saale-Beton;Gersfeld;36129
Saale-Beton;Bad Brückenau;97769
SCHWENK Beton Alb-Donau;Donautal;89079
SCHWENK Beton Alb-Donau;Günzburg-Kötz;89312
SCHWENK Beton Alb-Donau;Merklingen;89188
SCHWENK Beton Alb-Donau;Pfuhl;89233
SCHWENK Beton Allgäu;Kempten-Hafenthal;87493
SCHWENK Beton Allgäu;Immenstadt-Rauhenzell;87509
SCHWENK Beton Anhalt;Dessau;6846
SCHWENK Beton Anhalt;Bernburg;6406
SCHWENK Beton Anhalt;Oranienbaum;6785
SCHWENK Beton Anhalt;Wachau-Markkleeberg;4416
SCHWENK Beton Anhalt;Leipzig;4209
SCHWENK Beton Anhalt;Merseburg;6217
SCHWENK Beton Anhalt;Glesien;4435
SCHWENK Beton Anhalt;Staßfurt;39418
SCHWENK Beton Anhalt;Tollwitz;6231
SCHWENK Beton Bamberg;Bamberg;96052
SCHWENK Beton Bamberg;Altendorf;96146
SCHWENK Beton Berlin-Brandenburg;Berlin-Rhinstraße;12681
SCHWENK Beton Berlin-Brandenburg;Borgsdorf;16556
SCHWENK Beton Berlin-Brandenburg;Fürstenwalde;15517
SCHWENK Beton Berlin-Brandenburg;Ludwigsfelde;14974
SCHWENK Beton Berlin-Brandenburg;Pankow;13156
SCHWENK Beton Berlin-Brandenburg;Potsdam;14482
SCHWENK Beton Berlin-Brandenburg;Schenkendorf;15749
SCHWENK Beton Berlin-Brandenburg;Tempelhof;12099
SCHWENK Beton Berlin-Brandenburg;Westhafen;13353
SCHWENK Beton Berlin-Brandenburg;Zeestow;14656
SCHWENK Beton Chemnitz;Wittgensdorf;9228
SCHWENK Beton Chemnitz;Chemnitz-Süd;9120
SCHWENK Beton Chemnitz;Glösa;9114
SCHWENK Beton Chemnitz;Zwickau-Crossen;8058
